text,emotion
I was steady,calm
He looks nervous,fear
This makes me unhappy,sadness
I am so unhappy today,sadness
It feels great,joy
I feel nasty,disgust
That’s smile,joy
This makes me plain,neutral
She seems okay,calm
He looks okay,calm
She seems awful,disgust
I am so fast today,surprise
It feels grateful,joy
This makes me ugly,disgust
That’s funny,joy
I am so suddenly today,surprise
I feel rage,anger
It feels shocking,surprise
Life is shocking,surprise
It feels trembling,fear
Everything feels shocking,surprise
She seems astonishing,surprise
Everything feels sick,disgust
She seems shocked,fear
I was afraid,fear
This makes me cry,sadness
Life is fearful,fear
It feels trembling,fear
Everything feels standard,neutral
Life is hurt,sadness
I feel aggressive,anger
I feel normal,neutral
This makes me nasty,disgust
This makes me worried,fear
He looks unbelievable,surprise
Life is gross,disgust
Life is okay,calm
I am so gross today,disgust
Everything feels rage,anger
That’s hate,anger
Everything feels funny,joy
It feels excited,joy
That’s relaxed,calm
This makes me hopeless,sadness
I feel shout,anger
Everything feels trembling,fear
I was peaceful,calm
Life is mad,anger
This makes me unhappy,sadness
I feel disgusting,disgust
Everything feels fine,calm
It feels balanced,calm
That’s plain,neutral
Life is ugly,disgust
That’s painful,sadness
This makes me gross,disgust
I was amazing,joy
He looks furious,anger
He looks trembling,fear
It feels scared,fear
I am so hopeless today,sadness
I feel stinky,disgust
This makes me fine,calm
Everything feels rage,anger
Everything feels wow,surprise
This makes me unsafe,fear
That’s ugly,disgust
That’s wonderful,joy
This makes me grateful,joy
Everything feels fast,surprise
That’s ugly,disgust
She seems rude,anger
I feel gross,disgust
I was trembling,fear
Everything feels relaxed,calm
Everything feels unsafe,fear
Life is trembling,fear
Everything feels rage,anger
I feel trembling,fear
She seems furious,anger
I feel rude,anger
Life is grateful,joy
I feel cry,sadness
I feel fine,neutral
It feels heartbroken,sadness
I was amazing,joy
Everything feels terrified,fear
Everything feels shocked,fear
This makes me terrible,disgust
I am so unsafe today,fear
She seems nervous,fear
This makes me shocking,surprise
She seems steady,calm
He looks heartbroken,sadness
He looks rotten,disgust
Life is simple,neutral
Everything feels rotten,disgust
He looks anxious,fear
I am so lonely today,sadness
Life is ugly,disgust
I was plain,neutral
Everything feels really,surprise
I was normal,neutral
It feels love,joy
That’s standard,neutral
That’s nasty,disgust
I feel terrified,fear
I feel mad,anger
I was awful,disgust
She seems sick,disgust
She seems happy,joy
I am so shout today,anger
She seems average,neutral
Everything feels rude,anger
I was nothing,neutral
I am so beautiful today,joy
I am so hate today,anger
He looks okay,neutral
She seems average,neutral
I am so terrified today,fear
That’s steady,calm
Life is down,sadness
He looks furious,anger
It feels chill,calm
That’s sick,disgust
I feel regular,neutral
Life is love,joy
She seems shocking,surprise
This makes me amazing,surprise
Everything feels funny,joy
She seems standard,neutral
I am so aggressive today,anger
It feels usual,neutral
He looks happy,joy
It feels astonishing,surprise
Everything feels hopeless,sadness
This makes me love,joy
I was anxious,fear
This makes me excited,joy
It feels shocked,fear
He looks okay,neutral
That’s astonishing,surprise
I feel steady,calm
He looks fine,calm
It feels fearful,fear
I feel trembling,fear
It feels sad,sadness
This makes me balanced,calm
He looks quiet,calm
Life is anxious,fear
It feels simple,neutral
I was steady,calm
Life is unsafe,fear
I was fast,surprise
Life is plain,neutral
I was regular,neutral
It feels shout,anger
I am so fine today,neutral
She seems funny,joy
I was hurt,sadness
I feel really,surprise
He looks shocked,fear
She seems oh,surprise
Life is unexpected,surprise
Everything feels irritated,anger
It feels hopeless,sadness
He looks amazing,joy
This makes me peaceful,calm
It feels steady,calm
I was wonderful,joy
Life is happy,joy
She seems oh,surprise
I feel terrible,disgust
Everything feels trembling,fear
I feel irritated,anger
That’s hurt,sadness
He looks hopeless,sadness
I am so chill today,calm
I was sick,disgust
She seems trembling,fear
He looks nasty,disgust
This makes me really,surprise
He looks normal,calm
This makes me terrified,fear
He looks wonderful,joy
Life is irritated,anger
I feel nasty,disgust
I was worried,fear
It feels worried,fear
He looks standard,neutral
It feels sick,disgust
He looks ugly,disgust
It feels awful,disgust
I was grateful,joy
She seems okay,neutral
I feel fast,surprise
Life is simple,neutral
He looks amazing,joy
I was great,joy
That’s lonely,sadness
I feel plain,neutral
I feel happy,joy
I am so annoyed today,anger
Everything feels usual,neutral
Life is terrible,disgust
It feels rude,anger
That’s hopeless,sadness
She seems awful,disgust
Life is suddenly,surprise
It feels afraid,fear
I was furious,anger
I was fast,surprise
Life is lonely,sadness
She seems nothing,neutral
Everything feels funny,joy
Everything feels cry,sadness
I am so oh today,surprise
Life is amazing,surprise
Everything feels sad,sadness
I was standard,neutral
I am so aggressive today,anger
I am so rotten today,disgust
I was relaxed,calm
He looks worried,fear
She seems regular,neutral
That’s normal,calm
I am so quiet today,calm
She seems sad,sadness
It feels plain,neutral
That’s stinky,disgust
She seems scared,fear
Everything feels angry,anger
It feels afraid,fear
I am so astonishing today,surprise
I was normal,neutral
This makes me gross,disgust
I was fearful,fear
I am so plain today,neutral
Everything feels regular,neutral
She seems beautiful,joy
I feel excited,joy
Everything feels ugly,disgust
I am so astonishing today,surprise
This makes me shocking,surprise
That’s terrible,disgust
That’s great,joy
That’s nasty,disgust
Everything feels balanced,calm
Life is excited,joy
He looks terrified,fear
He looks oh,surprise
I feel smile,joy
I feel suddenly,surprise
I was regular,neutral
Everything feels shocked,fear
I feel stinky,disgust
He looks hate,anger
This makes me awful,disgust
Life is grateful,joy
I was okay,neutral
He looks shocked,fear
She seems regular,neutral
Everything feels missing,sadness
That’s amazing,surprise
Everything feels oh,surprise
This makes me quiet,calm
That’s relaxed,calm
Everything feels irritated,anger
He looks down,sadness
She seems really,surprise
I am so aggressive today,anger
Everything feels hurt,sadness
Life is afraid,fear
Everything feels rotten,disgust
I am so amazing today,joy
Life is unhappy,sadness
I feel mad,anger
It feels love,joy
That’s happy,joy
I am so painful today,sadness
This makes me terrible,disgust
He looks terrified,fear
It feels fearful,fear
I feel steady,calm
That’s chill,calm
I was okay,calm
It feels rage,anger
That’s lonely,sadness
It feels heartbroken,sadness
It feels sick,disgust
It feels amazing,joy
It feels stinky,disgust
Life is slow,calm
Everything feels shocked,fear
That’s fine,calm
I was rage,anger
Everything feels nasty,disgust
I was disgusting,disgust
Life is awful,disgust
This makes me love,joy
I am so fast today,surprise
She seems okay,calm
It feels fearful,fear
I was regular,neutral
It feels happy,joy
He looks astonishing,surprise
I am so sick today,disgust
Everything feels nervous,fear
This makes me amazing,joy
Life is aggressive,anger
It feels irritated,anger
I was irritated,anger
I feel regular,neutral
She seems painful,sadness
I feel regular,neutral
It feels normal,calm
She seems rage,anger
It feels fast,surprise
It feels fast,surprise
Life is happy,joy
Life is fine,calm
